title,category,publish_date,title_en,title_en_stopwords_removed,sentiment
"IHSG Diprediksi Menguat, Ini Saham yang Bakal Cuan",detikFinance,2024-10-07 08:38:00,"IHSG Predicted to Strengthen, These Are the Stocks That Will Make Profit","IHSG Predicted Strengthen , Stocks Make Profit",POSITIVE
"IHSG Hari Ini Berpotensi Melemah, Simak Rekomendasi Sahamnya",detikFinance,2024-10-04 08:45:00,"IHSG Today Has Potential to Weaken, Check Out the Stock Recommendations","IHSG Today Potential Weaken , Check Stock Recommendations",NEGATIVE
Simak di Sini Rekomendasi Saham Harian,detikFinance,2024-09-24 08:41:00,Check out our daily stock recommendations here,Check daily stock recommendations,POSITIVE
Simak! Rekomendasi Saham Akhir Pekan,detikFinance,2024-09-20 08:53:00,Check Out! Weekend Stock Recommendations,Check ! Weekend Stock Recommendations,POSITIVE
Akhir Pekan IHSG Ditutup Betah di Zona Hijau,detikFinance,2024-09-06 16:30:00,IHSG Weekend Closed Comfortably in the Green Zone,IHSG Weekend Closed Comfortably Green Zone,POSITIVE
"Masih Lesu, IHSG Dibuka Turun ke Level 7.591",detikFinance,2024-08-28 09:29:00,"Still Sluggish, IHSG Opens Down to Level 7,591","Still Sluggish , IHSG Opens Level 7,591",NEGATIVE
IHSG Pagi Ini Dibuka Lesu ke Level 7.592,detikFinance,2024-08-27 09:22:00,"IHSG Opens Weakly at Level 7,592 This Morning","IHSG Opens Weakly Level 7,592 Morning",NEGATIVE
IHSG Awal Pekan Melesat ke Level 7.604,detikFinance,2024-08-26 09:27:00,"IHSG Starts Week Soars to Level 7,604","IHSG Starts Week Soars Level 7,604",POSITIVE
BNI Buka Suara soal Rencana Divestasi Saham di BSI,detikFinance,2024-08-22 19:47:00,BNI Speaks Up on BSI Share Divestment Plan,BNI Speaks BSI Share Divestment Plan,NEGATIVE
"BNI Ajak Masyarakat Berinvestasi, Ada Hadiah 1.000 Lembar Saham BBNI",detikFinance,2024-08-03 14:30:00,"BNI Invites the Public to Invest, There is a Prize of 1,000 BBNI Shares","BNI Invites Public Invest , Prize 1,000 BBNI Shares",POSITIVE
"IHSG Bergerak di Zona Merah ke Level 7.313, Simak Rekomendasi Sahamnya",detikFinance,2024-08-02 09:19:00,"IHSG Moves in the Red Zone to Level 7,313, Check Out the Stock Recommendations","IHSG Moves Red Zone Level 7,313 , Check Stock Recommendations",POSITIVE
"Yuk ke BNI EXPO 2024, Cari Rumah hingga Pergi Piknik ke Tempat Impian",detikFinance,2024-08-01 13:35:00,"Come to BNI EXPO 2024, look for a house and go on a picnic to your dream place","Come BNI EXPO 2024 , look house go picnic dream place",POSITIVE
IHSG Pagi Ini Dibuka Naik ke Level 7.279,detikFinance,2024-08-01 09:09:00,"IHSG Opens Up to Level 7,279 This Morning","IHSG Opens Level 7,279 Morning",POSITIVE
Bank BUMN Kasih Bunga Kredit Spesial buat Nasabah,detikFinance,2024-07-31 11:20:00,State-Owned Banks Offer Special Credit Interest Rates to Customers,State-Owned Banks Offer Special Credit Interest Rates Customers,POSITIVE
"Daftar Saham LQ45 Terbaru: Emiten Sandiaga Uno Keluar, Jasa Marga Masuk",detikFinance,2024-07-26 13:30:00,"Latest LQ45 Stock List: Issuer Sandiaga Uno Exits, Jasa Marga Enters","Latest LQ45 Stock List : Issuer Sandiaga Uno Exits , Jasa Marga Enters",NEGATIVE
"IHSG Seharian di Zona Merah, Ditutup Loyo ke 7.240",detikFinance,2024-07-25 16:35:00,"IHSG in the Red Zone All Day, Closes Weakly at 7,240","IHSG Red Zone Day , Closes Weakly 7,240",NEGATIVE
IHSG Hari Ini Dibuka Melemah ke 7.215,detikFinance,2024-07-25 09:22:00,"IHSG Today Opens Weaker to 7,215","IHSG Today Opens Weaker 7,215",NEGATIVE
IHSG dan Bursa Asia Kompak di Zona Merah,detikFinance,2024-07-24 09:22:00,IHSG and Asian Stock Exchanges Compact in the Red Zone,IHSG Asian Stock Exchanges Compact Red Zone,NEGATIVE
24 Nasabah Jadi Pemenang Bulanan Kompetisi Trading Saham BNI Sekuritas,detikFinance,2024-07-18 16:00:00,24 Customers Become Monthly Winners of BNI Securities Stock Trading Competition,24 Customers Become Monthly Winners BNI Securities Stock Trading Competition,POSITIVE
BNI Buka Kantor Cabang di Sydney Australia Tahun Ini,detikFinance,2024-07-08 12:08:00,BNI Opens Branch Office in Sydney Australia This Year,BNI Opens Branch Office Sydney Australia Year,POSITIVE
Terungkap! Rencana Kerja Sama BNI-Sea Grup Lewat Shopee Paylater,detikFinance,2024-07-05 18:09:00,Revealed! BNI-Sea Group Collaboration Plan Through Shopee Paylater,Revealed ! BNI-Sea Group Collaboration Plan Shopee Paylater,POSITIVE
"Pasar Optimis, IHSG Masih Betah di Zona Hijau",detikFinance,2024-06-21 09:24:00,"Market Optimistic, IHSG Still Comfortable in Green Zone","Market Optimistic , IHSG Still Comfortable Green Zone",POSITIVE
"Usai Libur Panjang, IHSG Hari Ini Diprediksi Melemah",detikFinance,2024-06-19 08:45:00,"After Long Holiday, IHSG Predicted to Weaken Today","Long Holiday , IHSG Predicted Weaken Today",NEGATIVE
Top! Jumlah Investor BBRI Naik Signifikan dalam 4 Bulan Terakhir,detikFinance,2024-06-13 17:07:00,Top! Number of BBRI Investors Increases Significantly in the Last 4 Months,Top ! Number BBRI Investors Increases Significantly Last 4 Months,POSITIVE
"Ada 'Diskon' Harga Saham, Jumlah Investor BBRI Tembus Setengah Juta",detikFinance,2024-06-13 16:18:00,"There is a 'Discount' on Stock Prices, Number of BBRI Investors Reaches Half a Million","'Discount ' Stock Prices , Number BBRI Investors Reaches Half Million",POSITIVE
"IHSG Dibuka di Zona Hijau, Diramal Mantul Hari Ini",detikFinance,2024-06-13 09:11:00,"IHSG Opens in Green Zone, Predicted to Bounce Today","IHSG Opens Green Zone , Predicted Bounce Today",POSITIVE
IHSG Rabu Pagi Bergerak ke Zona Merah di Level 6.851,detikFinance,2024-06-12 09:15:00,"IHSG Wednesday Morning Moves to Red Zone at Level 6,851","IHSG Wednesday Morning Moves Red Zone Level 6,851",POSITIVE
IHSG Pagi Ini Bergerak ke Zona Merah di Level 6.907,detikFinance,2024-06-11 09:12:00,"IHSG Moves to Red Zone at Level 6,907 This Morning","IHSG Moves Red Zone Level 6,907 Morning",POSITIVE
Awal Pekan IHSG Dibuka ke Level 6.897,detikFinance,2024-06-10 09:08:00,"IHSG Opens at 6,897 at the Beginning of the Week","IHSG Opens 6,897 Beginning Week",POSITIVE
Awal Pekan IHSG Dibuka di Zona Hijau,detikFinance,2024-05-27 09:17:00,IHSG Opens in the Green Zone at the Beginning of the Week,IHSG Opens Green Zone Beginning Week,POSITIVE
"IHSG Ngegas, Dibuka di Zona Hijau!",detikFinance,2024-04-30 09:20:00,"IHSG Accelerates, Opens in the Green Zone!","IHSG Accelerates , Opens Green Zone !",POSITIVE
IHSG Pagi Ini Dibuka Hijau di Level 7.111,detikFinance,2024-04-24 09:11:00,"IHSG Opens Green This Morning at Level 7,111","IHSG Opens Green Morning Level 7,111",POSITIVE
"Konflik Israel-Iran Memanas, Ini Titah Erick Thohir buat BUMN",detikFinance,2024-04-20 19:15:00,"Israel-Iran Conflict Heats Up, Here Are Erick Thohir's Orders for BUMN","Israel-Iran Conflict Heats , Erick Thohir 's Orders BUMN",NEGATIVE
Erick Thohir Terbang ke Qatar Hari Ini Cari Investor buat BSI,detikFinance,2024-04-20 13:45:00,Erick Thohir Flies to Qatar Today to Seek Investors for BSI,Erick Thohir Flies Qatar Today Seek Investors BSI,POSITIVE
"Usai Libur Panjang, IHSG Dibuka Merosot ke Zona Merah",detikFinance,2024-04-16 09:07:00,"After Long Holiday, IHSG Opens Down to Red Zone","Long Holiday , IHSG Opens Red Zone",POSITIVE
Jelang Akhir Pekan IHSG Dibuka ke Zona Merah di Level 7.254,detikFinance,2024-04-05 09:05:00,"Ahead of Weekend, IHSG Opens in the Red Zone at Level 7,254","Ahead Weekend , IHSG Opens Red Zone Level 7,254",POSITIVE
IHSG Pagi Ini Dibuka di Level 7.166,detikFinance,2024-04-04 09:08:00,"IHSG Opens at Level 7,166 This Morning","IHSG Opens Level 7,166 Morning",POSITIVE
Duh IHSG Masih Loyo Terus Nih,detikFinance,2024-03-26 09:12:00,"Oh My, IHSG is Still Weak","Oh , IHSG Still Weak",NEGATIVE
Erick Thohir Puji Kinerja BSI Bisa Masuk Top 10 Bank Syariah Dunia,detikFinance,2024-03-14 22:27:00,Erick Thohir Praises BSI's Performance for Entering the Top 10 Sharia Banks in the World,Erick Thohir Praises BSI 's Performance Entering Top 10 Sharia Banks World,POSITIVE
Lebih Cepat dari Target! BSI Resmi Masuk Jajaran Top 10 Global Islamic Bank,detikFinance,2024-03-14 19:05:00,Ahead of Target! BSI Officially Enters Top 10 Global Islamic Banks,Ahead Target ! BSI Officially Enters Top 10 Global Islamic Banks,POSITIVE
Lengkap! Ini Daftar Komisaris & Direksi BNI Terbaru,detikFinance,2024-03-04 17:48:00,Complete! Here is the Latest List of BNI Commissioners & Directors,Complete ! Latest List BNI Commissioners & Directors,POSITIVE
Erick Thohir Tunjuk Kepala Biro Protokol Sekretariat Presiden Jadi Komisaris BNI,detikFinance,2024-03-04 17:02:00,Erick Thohir Appoints Head of Presidential Secretariat Protocol Bureau as BNI Commissioner,Erick Thohir Appoints Head Presidential Secretariat Protocol Bureau BNI Commissioner,POSITIVE
"Daftar 6 Bank dengan Aset Terbesar RI, BSI Balap CIMB Niaga",detikFinance,2024-02-23 14:11:00,"List of 6 Banks with the Largest Assets in Indonesia, BSI Races CIMB Niaga","List 6 Banks Largest Assets Indonesia , BSI Races CIMB Niaga",POSITIVE
Analis Pasar Modal Prediksi Saham BRIS Bisa Tembus Rp 2.700,detikFinance,2024-02-22 12:41:00,"Capital Market Analyst Predicts BRIS Shares Could Reach IDR 2,700","Capital Market Analyst Predicts BRIS Shares Could Reach IDR 2,700",POSITIVE
"Kinerja Saham BBNI Kian Melesat Tembus ATH, Anggota DPR Beri Pujian",detikFinance,2024-02-17 09:49:00,"BBNI Stock Performance Soars to ATH, DPR Members Praise","BBNI Stock Performance Soars ATH , DPR Members Praise",POSITIVE
"Volume Transaksi Saham BSI Naik Signifikan, Tembus Rp 115,93 M di 2024",detikFinance,2024-02-13 18:07:00,"BSI Stock Transaction Volume Increases Significantly, Reaching IDR 115.93 Billion in 2024","BSI Stock Transaction Volume Increases Significantly , Reaching IDR 115.93 Billion 2024",POSITIVE
"Mumpung IHSG Kemarin Turun, Investor Disarankan Buy On Weakness",detikFinance,2023-12-19 08:07:00,"While IHSG Dropped Yesterday, Investors Are Advised to Buy On Weakness","IHSG Dropped Yesterday , Investors Advised Buy Weakness",NEGATIVE
Cek! Begini Rekomendasi Saham Hari Ini,detikFinance,2023-12-05 08:40:00,Check! Here Are Today's Stock Recommendations,Check ! Today 's Stock Recommendations,POSITIVE
Deretan Emiten Saham di Lingkaran Koalisi Capres-Cawapres,detikFinance,2023-12-04 06:30:00,List of Stock Issuers in the Presidential and Vice Presidential Candidate Coalition Circle,List Stock Issuers Presidential Vice Presidential Candidate Coalition Circle,POSITIVE
"Emiten Saham di Lingkaran Capres-Cawapres, Ada Dampaknya?",detikFinance,2023-12-03 22:13:00,"Stock Issuers in the Presidential and Vice Presidential Candidate Circles, Are There Any Impacts?","Stock Issuers Presidential Vice Presidential Candidate Circles , Impacts ?",NEGATIVE
BNI Raih Penghargaan The Best CEO of The Most Sustainable Bank,detikFinance,2023-12-03 14:25:00,BNI Wins The Best CEO of The Most Sustainable Bank Award,BNI Wins Best CEO Sustainable Bank Award,POSITIVE
Dividen 'Atraktif' Jadi Cara BNI Apresiasi Pemegang Saham,detikFinance,2023-11-30 10:17:00,'Attractive' Dividends Become BNI's Way of Appreciating Shareholders,'Attractive ' Dividends Become BNI 's Way Appreciating Shareholders,POSITIVE
BNI Perkuat Dukungan untuk Industri Hulu Migas dan UMKM,detikFinance,2023-11-30 09:51:00,BNI Strengthens Support for Upstream Oil and Gas Industry and MSMEs,BNI Strengthens Support Upstream Oil Gas Industry MSMEs,POSITIVE
Upaya Digitalisasi Bank BNI Genjot Pertumbuhan CASA,detikFinance,2023-11-08 18:25:00,BNI Bank's Digitalization Efforts Boost CASA Growth,BNI Bank 's Digitalization Efforts Boost CASA Growth,POSITIVE
"BNI Optimistis Kredit Sesuai Target, Tumbuh 7% hingga 9% di Akhir Tahun",detikFinance,2023-11-06 09:05:00,"BNI Optimistic Credit Will Meet Target, Grow 7% to 9% by Year-End","BNI Optimistic Credit Meet Target , Grow 7 % 9 % Year-End",POSITIVE
"Buktikan Kinerja Positif, BNI Bisa Raih Kepercayaan Penuh Investor",detikFinance,2023-11-05 23:07:00,"Proving Positive Performance, BNI Can Gain Full Investor Trust","Proving Positive Performance , BNI Gain Full Investor Trust",POSITIVE
"Kinerja Pendapatan Optimal, BNI Optimistis Harga Saham Terus Meningkat",detikFinance,2023-11-04 11:41:00,"Optimal Revenue Performance, BNI Optimistic Stock Prices Will Continue to Increase","Optimal Revenue Performance , BNI Optimistic Stock Prices Continue Increase",POSITIVE
Harga Saham BBNI Setelah Stock Split Dipasarkan Mulai dari Rp 5.200,detikFinance,2023-10-06 17:36:00,"BBNI Share Price After Stock Split Marketed Starting from IDR 5,200","BBNI Share Price Stock Split Marketed Starting IDR 5,200",NEGATIVE
"Saham BNI Catat Rekor Tertinggi, Pengamat: Dipicu Euforia Stock Split",detikFinance,2023-10-04 13:03:00,"BNI Shares Record High, Observer: Triggered by Stock Split Euphoria","BNI Shares Record High , Observer : Triggered Stock Split Euphoria",POSITIVE
Saham BNI Cetak Rekor Tertinggi Sepanjang Masa di Rp 10.375,detikFinance,2023-09-30 10:36:00,"BNI Shares Hit All-Time High at Rp 10,375","BNI Shares Hit All-Time High Rp 10,375",POSITIVE
"Stock Split Buat Saham Lebih Likuid, BNI Sasar Investor Muda",detikFinance,2023-09-25 13:43:00,"Stock Split Makes Shares More Liquid, BNI Targets Young Investors","Stock Split Makes Shares Liquid , BNI Targets Young Investors",POSITIVE
RUPS-LB BNI Setujui Stock Split Rasio 1:2 & Komisaris-Direksi Baru,detikFinance,2023-09-20 08:49:00,BNI's Extraordinary General Meeting of Shareholders Approves 1:2 Stock Split Ratio & New Commissioners-Directors,BNI 's Extraordinary General Meeting Shareholders Approves 1:2 Stock Split Ratio & New Commissioners-Directors,POSITIVE
Pengin Cuan Tambahan? Simak Dulu Saham-saham Ini,detikFinance,2023-09-20 08:36:00,Want Extra Profit? Check Out These Stocks First,Want Extra Profit ? Check Stocks First,POSITIVE
"Bos BNI Sebut Saham BBNI Masih 'Kemurahan', Ini Alasannya",detikFinance,2023-09-19 17:30:00,"BNI Boss Says BBNI Shares Are Still 'Cheap', Here's Why","BNI Boss Says BBNI Shares Still 'Cheap ' , 's",NEGATIVE
"IHSG Hari Ini Menguat Lagi, Kapan Balik ke 7.000 Nih?",detikFinance,2023-09-19 09:12:00,"IHSG Strengthens Again Today, When Will It Return to 7,000?","IHSG Strengthens Today , Return 7,000 ?",POSITIVE
Simak Saham-saham Pilihan yang Berpotensi Kasih Cuan,detikFinance,2023-09-19 08:42:00,Check Out Selected Stocks That Have the Potential to Give Profit,Check Selected Stocks Potential Give Profit,POSITIVE
Pakar Prediksi Rencana Stock Split BBNI Berdampak Positif ke Harga Saham,detikFinance,2023-09-18 13:39:00,Experts Predict BBNI Stock Split Plan Will Have Positive Impact on Stock Prices,Experts Predict BBNI Stock Split Plan Positive Impact Stock Prices,POSITIVE
Akhir Pekan Ada Saham yang Berpotensi Cuan? Simak di Sini,detikFinance,2023-09-15 08:35:00,Weekend Stocks That Have Potential to Make Money? Check Here,Weekend Stocks Potential Make Money ? Check,POSITIVE
IHSG Hari Ini Dibuka di Zona Merah,detikFinance,2023-09-13 09:32:00,IHSG Opens in the Red Zone Today,IHSG Opens Red Zone Today,POSITIVE
IHSG Masih Merah di Perdagangan Awal Pekan,detikFinance,2023-09-11 09:22:00,IHSG Still Red in Early Week Trading,IHSG Still Red Early Week Trading,POSITIVE
BNI Buka-bukaan Jurus Genjot Pembiayaan Hijau,detikFinance,2023-09-06 13:23:00,BNI Opens Up About Green Financing Strategy,BNI Opens Green Financing Strategy,POSITIVE
Total Kredit BNI Xpora Tembus Rp 29 Triliun dan Rangkul 27.000 UMKM,detikFinance,2023-08-21 10:49:00,"BNI Xpora's Total Credit Reaches IDR 29 Trillion and Embraces 27,000 MSMEs","BNI Xpora 's Total Credit Reaches IDR 29 Trillion Embraces 27,000 MSMEs",POSITIVE
"Lanjutkan Pelemahan, IHSG Pagi Ini Dibuka Melemah di 6.875",detikFinance,2023-08-02 09:09:00,"Continuing Weakening, IHSG Opens Weaker at 6,875 This Morning","Continuing Weakening , IHSG Opens Weaker 6,875 Morning",NEGATIVE
"Seharian Merah, IHSG Ditutup Melemah 0,65% ke Level 6.886",detikFinance,2023-08-01 16:35:00,"Red All Day, IHSG Closes Down 0.65% to Level 6,886","Red Day , IHSG Closes 0.65 % Level 6,886",NEGATIVE
Bahana Prediksi IHSG Tembus 7.200 Sampai Akhir 2023,detikFinance,2023-08-01 15:55:00,"Bahana Predicts IHSG Will Reach 7,200 by End of 2023","Bahana Predicts IHSG Reach 7,200 End 2023",POSITIVE
IHSG Selasa Pagi Dibuka Melemah ke Level 6.915,detikFinance,2023-08-01 09:14:00,"IHSG Opens Lower on Tuesday Morning at 6,915","IHSG Opens Lower Tuesday Morning 6,915",NEGATIVE
"Tunjukkan Pertumbuhan Positif, Saham BBNI Jadi Rekomendasi Analis Saham",detikFinance,2023-07-31 10:36:00,"Showing Positive Growth, BBNI Stocks Become Stock Analyst Recommendations","Showing Positive Growth , BBNI Stocks Become Stock Analyst Recommendations",POSITIVE
"Idul Adha, BNI Salurkan 730 Hewan Kurban ke Berbagai Wilayah RI",detikFinance,2023-06-29 22:10:00,"Eid al-Adha, BNI Distributes 730 Sacrificial Animals to Various Regions of the Republic of Indonesia","Eid al-Adha , BNI Distributes 730 Sacrificial Animals Various Regions Republic Indonesia",NEGATIVE
"BNI dan BRI Bakal Lepas Saham dari BSI, Dirut Buka-bukaan Penggantinya",detikFinance,2023-06-22 19:15:00,"BNI and BRI to Divest Shares from BSI, CEO Opens Up About His Replacement","BNI BRI Divest Shares BSI , CEO Opens Replacement",NEGATIVE
"Geger Krisis Perbankan di AS, Investasi Apa yang Aman?",detikFinance,2023-05-08 06:30:00,"Banking Crisis in the US, What Investments Are Safe?","Banking Crisis US , Investments Safe ?",NEGATIVE
"Mandi Cuan! BNI Kantongi Laba Rp 5,2 T di Kuartal I-2023",detikFinance,2023-04-18 16:33:00,Bathing in Profit! BNI Pockets Rp 5.2 T Profit in Q1-2023,Bathing Profit ! BNI Pockets Rp 5.2 Profit Q1-2023,POSITIVE
BNI Dukung Ketahanan Pangan Nasional Melalui Millennial Smart Farming,detikFinance,2023-04-17 10:11:00,BNI Supports National Food Security Through Millennial Smart Farming,BNI Supports National Food Security Millennial Smart Farming,POSITIVE
"IHSG Masih Tertahan, Simak Saham yang Bisa Kasih Cuan Pekan Ini",detikFinance,2023-04-03 07:30:00,"IHSG Still Stuck, Check Out Stocks That Can Give Profit This Week","IHSG Still Stuck , Check Stocks Give Profit Week",NEGATIVE
BNI Xpora Dinilai Jadi Terobosan Bagus di Momen Keketuaan ASEAN 2023,detikFinance,2023-04-02 14:30:00,BNI Xpora Considered a Good Breakthrough at the Moment of ASEAN Chairmanship 2023,BNI Xpora Considered Good Breakthrough Moment ASEAN Chairmanship 2023,POSITIVE
"Belum Mampu Rebound, IHSG Masih Melemah",detikFinance,2023-03-16 09:06:00,"Not Yet Able to Rebound, IHSG Still Weakens","Yet Able Rebound , IHSG Still Weakens",POSITIVE
"IHSG Babak Belur Dihantam Efek Bank Silicon Valley, Bagaimana Proyeksinya?",detikFinance,2023-03-14 18:00:00,"IHSG Battered by Silicon Valley Bank Effect, What is the Projection?","IHSG Battered Silicon Valley Bank Effect , Projection ?",NEGATIVE
"Efek Bank Silicon Valley Bangkrut, Saham Perbankan-Teknologi Amsyong",detikFinance,2023-03-14 14:27:00,"Silicon Valley Bank Bankruptcy Effect, Banking-Tech Stocks Amsyong","Silicon Valley Bank Bankruptcy Effect , Banking-Tech Stocks Amsyong",NEGATIVE
"Bank BUMN Gelar RUPS Pekan Ini, Siapa Direksi-Komisaris yang Diganti?",detikFinance,2023-03-13 13:04:00,"State-Owned Banks Hold GMS This Week, Who Are the Directors and Commissioners Being Replaced?","State-Owned Banks Hold GMS Week , Directors Commissioners Replaced ?",NEGATIVE
7 Strategi BNI Pertahankan Kinerja Positif di 2023,detikFinance,2023-02-13 10:04:00,7 BNI Strategy Maintaining Positive Performance in 2023,7 BNI Strategy Maintaining Positive Performance 2023,POSITIVE
"Dukung Sustainable Finance, Ini Jurus BNI Tekan Emisi Gas Rumah Kaca",detikFinance,2023-02-11 18:36:00,"Supporting Sustainable Finance, This is BNI's Strategy to Reduce Greenhouse Gas Emissions","Supporting Sustainable Finance , BNI 's Strategy Reduce Greenhouse Gas Emissions",POSITIVE
"Laba Bersih BNI di 2022 Cetak Rekor Tertinggi, Ini Kuncinya",detikFinance,2023-02-02 17:26:00,"BNI's Net Profit in 2022 Sets Record High, Here's the Key","BNI 's Net Profit 2022 Sets Record High , 's Key",POSITIVE
"Emiten Bank Raksasa Dulang Cuan Jumbo, Bagaimana Prospek Sahamnya?",detikFinance,2023-01-30 06:30:00,"Giant Bank Issuers Earn Huge Profits, What Are Their Stock Prospects?","Giant Bank Issuers Earn Huge Profits , Stock Prospects ?",POSITIVE
"Emiten SCTV dan Sandiaga Masuk LQ45, Ini Daftar Terbarunya",detikFinance,2023-01-26 11:06:00,"Issuers SCTV and Sandiaga Enter LQ45, Here's the Latest List","Issuers SCTV Sandiaga Enter LQ45 , 's Latest List",POSITIVE
"Sepanjang 2022 Harga Saham BNI Naik 36,7%",detikFinance,2023-01-24 20:50:00,Throughout 2022 BNI Share Price Increases by 36.7%,Throughout 2022 BNI Share Price Increases 36.7 %,POSITIVE
"BNI Mandi Cuan, Sepanjang 2022 Kantongi Laba Bersih Rp 18,31 T",detikFinance,2023-01-24 17:45:00,"BNI Bathes in Profit, Throughout 2022 Pockets Net Profit of IDR 18.31 T","BNI Bathes Profit , Throughout 2022 Pockets Net Profit IDR 18.31",POSITIVE
Forum Bisnis LCSF 2022 Dorong Penggunaan Mata Uang Lokal RI-Jepang,detikFinance,2023-01-10 09:01:00,LCSF 2022 Business Forum Encourages Use of RI-Japan Local Currencies,LCSF 2022 Business Forum Encourages Use RI-Japan Local Currencies,POSITIVE
Kerja Sama BNI & Pabrik Baja GRP Dinilai Dorong Ekonomi Berkelanjutan,detikFinance,2023-01-09 20:45:00,BNI & GRP Steel Factory Collaboration Considered to Drive Sustainable Economy,BNI & GRP Steel Factory Collaboration Considered Drive Sustainable Economy,POSITIVE
"Dorong UMKM Go Global, BNI Sediakan Dana KUR Rp 36 Triliun di 2023",detikFinance,2023-01-09 16:18:00,"Encouraging MSMEs to Go Global, BNI Provides IDR 36 Trillion in KUR Funds in 2023","Encouraging MSMEs Go Global , BNI Provides IDR 36 Trillion KUR Funds 2023",POSITIVE
"Jadi Bank Digital, Direksi dan Komisaris Bank Mayora Dirombak",detikFinance,2023-01-06 22:01:00,"Becoming a Digital Bank, Bank Mayora's Board of Directors and Commissioners Are Reshuffled","Becoming Digital Bank , Bank Mayora 's Board Directors Commissioners Reshuffled",NEGATIVE
"Kinerja Solid, Saham BNI Naik 36,67% Sepanjang 2022",detikFinance,2022-12-30 21:46:00,"Solid Performance, BNI Shares Rise 36.67% Throughout 2022","Solid Performance , BNI Shares Rise 36.67 % Throughout 2022",POSITIVE
Mantap! Volume Transaksi BNIDirect Naik 41% di 2022,detikFinance,2022-12-29 17:30:00,Awesome! BNIDirect Transaction Volume Increases 41% in 2022,Awesome ! BNIDirect Transaction Volume Increases 41 % 2022,POSITIVE
"Loyo Lagi, IHSG Hari Ini Dibuka Anjlok Cukup Dalam",detikFinance,2022-12-19 09:19:00,"Weak Again, IHSG Opens Today with a Quite Deep Drop","Weak , IHSG Opens Today Quite Deep Drop",NEGATIVE
Strategi BNI Hadapi Tantangan Ekonomi Dunia di 2023,detikFinance,2022-12-18 20:15:00,BNI's Strategy to Face Global Economic Challenges in 2023,BNI 's Strategy Face Global Economic Challenges 2023,POSITIVE
BNI Gandeng AFPI untuk Percepat Digitalisasi Industri Jasa Keuangan,detikFinance,2022-12-14 20:23:00,BNI Partners with AFPI to Accelerate Digitalization of Financial Services Industry,BNI Partners AFPI Accelerate Digitalization Financial Services Industry,POSITIVE
"Perkuat Bisnis Konsumer-Digitalisasi Channel, BNI Raih 4 Penghargaan",detikFinance,2022-12-13 16:05:00,"Strengthening Consumer Business-Channel Digitalization, BNI Wins 4 Awards","Strengthening Consumer Business-Channel Digitalization , BNI Wins 4 Awards",POSITIVE
"LCSF 2022, BNI Tokyo Jembatani Bisnis Indonesia dengan Jepang",detikFinance,2022-12-07 09:56:00,"LCSF 2022, BNI Tokyo Bridges Indonesian and Japanese Businesses","LCSF 2022 , BNI Tokyo Bridges Indonesian Japanese Businesses",POSITIVE
BNI Raih Penghargaan Internasional DevPortal Award 2022,detikFinance,2022-12-05 20:54:00,BNI Wins International DevPortal Award 2022,BNI Wins International DevPortal Award 2022,POSITIVE
